,entity_id,trip_update_trip_trip_id,trip_update_trip_start_time,trip_update_trip_start_date,trip_update_trip_route_id,trip_update_trip_direction_id,trip_update_vehicle_id,trip_update_vehicle_label,trip_update_trip_schedule_relationship,feed_message
305,61946714,61946714,14:33:00,20240606,746,1,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
306,61870181,61870181,15:00:00,20240606,97,0,y2028,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
307,61391280,61391280,14:45:00,20240606,47,0,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
308,61928947,61928947,14:35:00,20240606,217,1,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
309,62216828,62216828,14:15:00,20240606,120,0,y3355,3355,,trip_updates (2024-06-06 18:11:20.441111+00:00)
310,62146193,62146193,14:55:00,20240606,34,0,y1632,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
311,62144925,62144925,14:32:00,20240606,50,1,y1651,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
312,61946261,61946261,14:43:00,20240606,751,1,y1292,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
313,62422565,62422565,14:30:00,20240606,714,0,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
314,62145196,62145196,15:08:00,20240606,38,1,y1665,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
315,61871045,61871045,14:43:00,20240606,101,0,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
316,61929293,61929293,14:40:00,20240606,236,0,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
317,61392313,61392313,13:40:00,20240606,23,0,y1919,1919,,trip_updates (2024-06-06 18:11:20.441111+00:00)
318,62216471,62216471,14:45:00,20240606,436,1,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
319,ADDED-1581935270,ADDED-1581935270,14:15:00,20240606,Orange,1,O-547C7816,1474,ADDED,trip_updates (2024-06-06 18:11:20.441111+00:00)
320,61392317,61392317,14:45:00,20240606,708,1,y1810,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
321,62216510,62216510,14:14:00,20240606,439,0,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
322,61391089,61391089,14:50:00,20240606,23,1,y1789,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
323,61870148,61870148,14:52:00,20240606,111,0,y0882,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
324,61392651,61392651,,,23,0,,,CANCELED,trip_updates (2024-06-06 18:11:20.441111+00:00)
325,61869463,61869463,14:48:00,20240606,93,1,y1413,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
326,61869055,61869055,14:50:00,20240606,137,1,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
327,61928853,61928853,14:36:00,20240606,216,1,y0801,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
328,61392052,61392052,14:01:00,20240606,66,1,y1895,1895,,trip_updates (2024-06-06 18:11:20.441111+00:00)
329,61869056,61869056,15:05:00,20240606,137,1,y0852,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
330,62145452,62145452,14:59:00,20240606,21,1,y1673,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
331,61804720,61804720,13:46:00,20240606,Green-E,1,G-10085,3801-3611,,trip_updates (2024-06-06 18:11:20.441111+00:00)
332,62216706,62216706,14:30:00,20240606,455,1,y3333,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
333,61945928,61945928,14:16:00,20240606,39,0,y1266,1266,,trip_updates (2024-06-06 18:11:20.441111+00:00)
334,61391303,61391303,14:37:00,20240606,66,1,y1834,1834,,trip_updates (2024-06-06 18:11:20.441111+00:00)
335,61849502,61849502,14:14:00,20240606,77,0,y2067,2067,,trip_updates (2024-06-06 18:11:20.441111+00:00)
336,61848768,61848768,14:23:00,20240606,87,0,y1975,1975,,trip_updates (2024-06-06 18:11:20.441111+00:00)
337,ADDED-1581935287,ADDED-1581935287,14:47:01,20240606,Green-E,1,G-10220,,ADDED,trip_updates (2024-06-06 18:11:20.441111+00:00)
338,62216328,62216328,14:50:00,20240606,426,1,y3112,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
339,62146139,62146139,14:36:00,20240606,32,1,y1630,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
340,61945728,61945728,14:57:00,20240606,749,1,y1278,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
341,61849576,61849576,14:10:00,20240606,64,1,y2041,2041,,trip_updates (2024-06-06 18:11:20.441111+00:00)
342,62216491,62216491,14:47:00,20240606,436,1,y3319,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
343,62145528_2,62145528_2,14:54:00,20240606,38,0,y1656,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
344,61391076,61391076,13:40:00,20240606,23,1,y1849,1849,,trip_updates (2024-06-06 18:11:20.441111+00:00)
345,61390951,61390951,14:50:00,20240606,708,0,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
346,61946712,61946712,13:44:00,20240606,743,1,y1300,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
347,61805183,61805183,14:53:00,20240606,Green-B,0,G-10009,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
348,61870494,61870494,14:30:00,20240606,93,0,y3118,3118,,trip_updates (2024-06-06 18:11:20.441111+00:00)
349,61928719,61928719,15:10:00,20240606,211,1,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
350,CR-660321-321,CR-660321-321,13:20:00,20240606,CR-Lowell,0,1711,1711,,trip_updates (2024-06-06 18:11:20.441111+00:00)
