id,vehicle_trip_trip_id,vehicle_trip_start_time,vehicle_trip_start_date,vehicle_trip_schedule_relationship,vehicle_trip_route_id,vehicle_trip_direction_id,vehicle_position_latitude,vehicle_position_longitude,vehicle_position_bearing,vehicle_current_stop_sequence,vehicle_current_status,vehicle_timestamp,vehicle_stop_id,vehicle_vehicle_id,vehicle_vehicle_label,vehicle_occupancy_status,vehicle_occupancy_percentage,vehicle_multi_carriage_details,vehicle_position_speed
y1829,61391545,13:20:00,20240530,SCHEDULED,7,1.0,42.346268,-71.041954,307.0,10.0,IN_TRANSIT_TO,1717090476,890,y1829,1829,MANY_SEATS_AVAILABLE,0.0,,
y3115,61849501,13:35:00,20240530,SCHEDULED,77,1.0,42.424934,-71.18484,0.0,1.0,STOPPED_AT,1717090476,7922,y3115,3115,MANY_SEATS_AVAILABLE,0.0,,
y1290,61912058,13:33:00,20240530,SCHEDULED,749,0.0,42.35556,-71.06276,219.0,1.0,STOPPED_AT,1717090471,49001,y1290,1290,MANY_SEATS_AVAILABLE,0.0,,
y0794,61929269,13:00:00,20240530,SCHEDULED,230,0.0,42.113865,-71.0236,224.0,70.0,IN_TRANSIT_TO,1717090473,39870,y0794,0794,MANY_SEATS_AVAILABLE,20.0,,
G-10138,61805260,12:52:00,20240530,SCHEDULED,Green-B,1.0,42.35551,-71.06316,30.0,600.0,STOPPED_AT,1717090438,70200,G-10138,3606-3886,,,"[{'label': '3606', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3886', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",
y3235,61394299,13:22:00,20240530,SCHEDULED,57,0.0,42.352196,-71.12465,282.0,9.0,IN_TRANSIT_TO,1717090471,960,y3235,3235,MANY_SEATS_AVAILABLE,20.0,,
y2069,61849896,13:27:00,20240530,SCHEDULED,78,0.0,42.386868,-71.14085,300.0,11.0,IN_TRANSIT_TO,1717090477,2181,y2069,2069,MANY_SEATS_AVAILABLE,0.0,,
G-10103,61804302,13:29:00,20240530,SCHEDULED,Green-C,1.0,42.34134,-71.12454,45.0,260.0,INCOMING_AT,1717090477,70220,G-10103,3823-3670,,,"[{'label': '3823', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3670', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",10.0
y3202,61394298,13:11:00,20240530,SCHEDULED,57,0.0,42.349117,-71.15327,0.0,18.0,IN_TRANSIT_TO,1717090456,973,y3202,3202,MANY_SEATS_AVAILABLE,20.0,,
y1420,61870483,12:52:00,20240530,SCHEDULED,111,0.0,42.405735,-71.03486,53.0,16.0,STOPPED_AT,1717090476,5626,y1420,1420,MANY_SEATS_AVAILABLE,0.0,,
G-10269,ADDED-1581923751,13:19:22,20240530,ADDED,Green-E,1.0,42.33639,-71.09888,45.0,510.0,INCOMING_AT,1717090479,70246,G-10269,3868-3656,,,"[{'label': '3868', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3656', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",
y0829,61929240,13:00:00,20240530,SCHEDULED,230,1.0,42.241726,-71.003456,352.0,63.0,STOPPED_AT,1717090475,3959,y0829,0829,MANY_SEATS_AVAILABLE,0.0,,
G-10167,ADDED-1581923780,13:33:38,20240530,ADDED,Green-C,1.0,42.3362,-71.14896,45.0,180.0,STOPPED_AT,1717090417,70238,G-10167,3713-3835,,,"[{'label': '3713', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3835', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",3.3
y1438,61869525,13:20:00,20240530,SCHEDULED,96,0.0,42.39362,-71.1208,0.0,8.0,STOPPED_AT,1717090476,2627,y1438,1438,MANY_SEATS_AVAILABLE,20.0,,
y3332,62216338,13:50:00,20240530,SCHEDULED,426,1.0,42.46188,-70.94691,270.0,1.0,STOPPED_AT,1717090449,16653,y3332,3332,MANY_SEATS_AVAILABLE,0.0,,
